,PLAYER_NAME,CURR_GP,CURR_MIN,CURR_FTR,TEAM_ABBREVIATION,PAST_GP,PAST_MIN,PAST_FTR,FTR_DIFF,CURR_FTA,PAST_FTA,FTA_DIFF
287,Devin Booker,21,676.0,0.326,PHX,17,593.0,0.39,-0.064,4.8,5.5,-0.7000000000000002
288,Jordan Poole,21,639.0,0.198,GSW,15,143.0,0.264,-0.066,3.0,4.8,-1.7999999999999998
289,Nemanja Bjelica,21,300.0,0.174,MIA,10,151.0,0.242,-0.068,2.9,5.5,-2.6
290,Dwight Powell,20,394.0,0.22,DAL,13,237.0,0.289,-0.06899999999999998,3.2,5.3,-2.0999999999999996
291,Aaron Gordon,21,673.0,0.25,DEN,19,552.0,0.319,-0.069,3.3,5.2,-1.9000000000000004
292,Patty Mills,22,619.0,0.047,SAS,22,560.0,0.117,-0.07,0.8,1.9,-1.0999999999999999
293,Semi Ojeleye,11,218.0,0.066,BOS,20,349.0,0.136,-0.07,0.8,2.2,-1.4000000000000001
294,DeAndre Jordan,20,276.0,0.108,BKN,23,464.0,0.179,-0.071,1.3,2.6,-1.3
295,Shai Gilgeous-Alexander,19,663.0,0.366,OKC,19,633.0,0.438,-0.07200000000000001,5.8,6.8,-1.0
296,P.J. Dozier,18,340.0,0.098,DEN,17,330.0,0.171,-0.07300000000000001,1.4,2.7,-1.3000000000000003
297,Gabe Vincent,20,328.0,0.091,MIA,13,251.0,0.165,-0.07400000000000001,1.3,2.4,-1.0999999999999999
298,Shake Milton,18,450.0,0.204,PHI,20,488.0,0.278,-0.07400000000000004,2.7,5.7,-3.0
299,Lamar Stevens,13,142.0,0.096,CLE,13,182.0,0.171,-0.07500000000000001,1.8,2.8,-0.9999999999999998
300,Luka Doncic,17,590.0,0.378,DAL,22,765.0,0.456,-0.07800000000000001,5.7,8.0,-2.3
301,John Konchar,20,298.0,0.07,MEM,10,178.0,0.149,-0.07899999999999999,1.0,2.0,-1.0
302,LeBron James,11,406.0,0.296,LAL,23,773.0,0.376,-0.08000000000000002,4.7,6.2,-1.5
303,Isaiah Hartenstein,21,331.0,0.303,CLE,14,126.0,0.383,-0.08000000000000002,3.9,6.6,-2.6999999999999997
304,Danilo Gallinari,20,421.0,0.209,ATL,10,166.0,0.29,-0.08099999999999999,3.3,6.7,-3.4000000000000004
305,Lauri Markkanen,14,440.0,0.178,CHI,14,426.0,0.26,-0.08200000000000002,2.7,3.8,-1.0999999999999996
306,Otto Porter Jr.,19,357.0,0.126,ORL,16,372.0,0.209,-0.08299999999999999,1.6,3.5,-1.9
307,Hassan Whiteside,21,323.0,0.301,SAC,14,200.0,0.384,-0.08300000000000002,4.8,6.8,-2.0
308,Kelly Oubre Jr.,24,656.0,0.146,GSW,22,616.0,0.229,-0.08300000000000002,2.5,3.9,-1.4
309,Donovan Mitchell,20,644.0,0.22,UTA,21,696.0,0.304,-0.08399999999999999,3.7,4.8,-1.0999999999999996
310,Kemba Walker,18,441.0,0.148,OKC,8,212.0,0.232,-0.08400000000000002,2.0,3.9,-1.9
311,CJ McCollum,23,813.0,0.139,POR,13,440.0,0.224,-0.08499999999999999,1.9,3.7,-1.8000000000000003
312,Avery Bradley,21,468.0,0.011,HOU,10,211.0,0.096,-0.085,0.2,1.5,-1.3
313,D.J. Augustin,18,222.0,0.107,HOU,21,357.0,0.192,-0.085,2.4,2.5,-0.10000000000000009
314,Paul Millsap,17,189.0,0.16,DEN,21,493.0,0.246,-0.086,3.2,3.3,-0.09999999999999964
315,Josh Jackson,19,361.0,0.189,DET,20,458.0,0.276,-0.08700000000000002,3.3,4.7,-1.4000000000000004
316,Blake Griffin,17,369.0,0.135,BKN,17,527.0,0.224,-0.089,2.2,3.7,-1.5
317,JaVale McGee,22,350.0,0.26,DEN,16,261.0,0.35,-0.08999999999999997,4.5,5.0,-0.5
318,Derrick Favors,16,267.0,0.141,UTA,21,349.0,0.233,-0.09200000000000003,1.9,3.6,-1.7000000000000002
319,Tre Jones,18,172.0,0.123,SAS,9,27.0,0.217,-0.094,1.9,6.8,-4.9
320,P.J. Washington,12,281.0,0.129,CHA,21,609.0,0.223,-0.094,2.1,3.7,-1.6
321,Nassir Little,21,470.0,0.162,POR,9,101.0,0.257,-0.095,2.2,3.2,-1.0
322,Eric Paschall,19,230.0,0.175,GSW,20,351.0,0.27,-0.09500000000000003,2.7,5.2,-2.5
323,Kyle Lowry,21,714.0,0.135,TOR,19,687.0,0.231,-0.096,2.2,3.7,-1.5
